cal_file,date,camera_make,camera_model,camera_serial,lens_make,lens_model,lens_serial,focal,lr_dist,tb_dist,llur_dist,ullr_dist,mlx,mly,mrx,mry,mtx,mty,mbx,mby,llx,lly,urx,ury,ulx,uly,lrx,lry
Report_RSAS_1031.pdf,1984-12-13,Wild Heerbrugg,RC8,296,Wild,Universal Aviogon,UAg258,151.835,,,299.823,299.819,,,,,,,,,-105.999,-106.002,106.002,106.011,-106.001,106.006,105.999,-106.002
Report_RSAS_1033.pdf,1984-12-19,Wild Heerbrugg,RC8,701,Wild,Universal Aviogon,UAg308,152.98,220.006,220.02,299.82,299.826,-110.013,0.012,109.992,-0.005,0.008,110.011,-0.007,-110.008,-105.996,-106.016,106.004,105.994,-105.998,106.01,105.995,-106.016
Report_RSAS_1034.pdf,1984-12-18,Fairchild,KC-1B,63-003,Goerz,Planigon,177,151.128,238.152,235.175,,,-120.653,0.001,117.499,0.001,0.012,117.713,0.044,-117.463,,,,,,,,
Report_RSAS_1037.pdf,1984-12-21,Wild Heerbrugg,RC5A,318,Wild,Aviogon,Ag81,152.164,,,299.837,299.817,,,,,,,,,-105.987,-105.98,106.02,106.046,-105.989,106.036,106.001,-105.98
Report_RSAS_1044.pdf,1985-01-28,Wild Heerbrugg,RC8,1058,Wild,Universal Aviogon,UAg438,152.287,,,299.828,299.81,,,,,,,,,-106.006,-105.996,106.008,106.011,-105.997,106.018,105.985,-105.996
Report_RSAS_1045.pdf,1985-01-29,Wild Heerbrugg,RC8,609,Wild,Universal Aviogon,UAg51,152.32,,,299.81,299.833,,,,,,,,,-105.98,-105.994,106.002,106.019,-106.005,106.018,106.011,-105.994
Report_RSAS_1052.pdf,1985-02-14,Wild Heerbrugg,RC8,925,Wild,Universal Aviogon,UAg414,152.226,219.989,220.002,299.825,299.815,-109.997,0.007,109.992,0.007,0.005,110.003,-0.005,-109.999,-106.001,-105.993,106.007,106.015,-106.003,106.015,105.992,-105.993
Report_RSAS_1057.pdf,1985-02-28,Wild Heerbrugg,RC8,432,Wild,Aviogon,Ag156,151.96,,,299.8,299.827,,,,,,,,,-105.988,-105.988,105.993,106.012,-106.014,106.006,106.011,-105.988
Report_RSAS_1065.pdf,1985-04-29,Park,,49,Bausch and Lomb,Cartogon,JZ1484,152.093,223.205,223.021,,,-111.55,0.008,111.655,0.008,-0.021,111.558,0.044,-111.463,,,,,,,,
Report_RSAS_1070.pdf,1985-04-30,Wild Heerbrugg,RC8,598,Wild,Universal Aviogon,UAg271,152.215,220.009,220.013,299.815,299.808,-110.006,0.014,110.003,-0.012,-0.006,110.003,-0.038,-110.01,-106.023,-105.993,105.994,105.993,-106.011,106.012,105.976,-105.993
Report_RSAS_1091.pdf,1985-07-22,Wild Heerbrugg,RC8,735,Wild,Universal Aviogon,UAg320,152.64,219.998,220.003,299.823,299.807,-110.006,-0.002,109.993,-0.003,-0.002,109.996,-0.015,-110.007,-106.005,-105.999,106.014,105.995,-106.0,106.001,105.991,-105.999
Report_RSAS_1095.pdf,1985-08-23,Wild Heerbrugg,RC8,905,Wild,Universal Aviogon,UAg362,152.574,220.001,219.999,299.815,299.808,-110.008,-0.001,109.993,0.011,-0.006,110.0,-0.013,-109.998,-106.0,-105.99,106.002,106.011,-106.001,106.004,105.998,-105.99
Report_RSAS_1100.pdf,1985-09-10,Wild Heerbrugg,RC8,395,Wild,Aviogon,Ag129,151.981,219.998,220.02,299.81,299.817,-110.007,0.022,109.991,0.017,0.0,110.029,-0.016,-109.991,-105.999,-105.978,105.996,106.022,-106.018,106.021,105.988,-105.978
Report_RSAS_1103.pdf,1985-09-19,Fairchild,T-12,54-013,Bausch and Lomb,Planigon,XF6750,154.1,237.855,234.985,,,-120.39,0.01,117.466,0.01,0.044,117.549,0.007,-117.436,,,,,,,,
Report_RSAS_1106.pdf,1985-09-26,Wild Heerbrugg,RC8,831,Wild,Universal Aviogon,UAg361,152.75,219.995,220.014,299.81,299.807,-110.009,-0.02,109.986,-0.006,-0.01,109.987,-0.013,-110.027,-106.014,-106.012,105.988,105.981,-105.996,105.994,105.99,-106.012
Report_RSAS_1113.pdf,1985-10-25,Wild Heerbrugg,RC8,601,Wild,Universal Aviogon,UAg257,152.07,,,299.816,299.812,,,,,,,,,-105.999,-105.998,106.013,105.994,-105.996,106.003,106.001,-105.998
Report_RSAS_1118.pdf,1985-11-14,Wild Heerbrugg,RC8,594,Wild,Universal Aviogon,UAg256,152.1,,,299.788,299.81,,,,,,,,,-105.981,-105.991,105.986,106.007,-106.011,105.988,106.005,-105.991
Report_RSAS_1119.pdf,1985-11-15,Fairchild,T-12,,Bausch and Lomb,Planigon,517,152.282,237.971,235.246,309.639,309.562,-120.527,0.107,117.444,-0.338,0.217,117.95,-0.248,-117.296,-109.051,-109.326,109.717,109.802,-109.692,109.4,109.369,-109.326
Report_RSAS_1121.pdf,1985-11-21,Wild Heerbrugg,RC8,685,Wild,Universal Aviogon,UAg285,152.678,219.993,220.008,299.822,299.794,-110.016,-0.004,109.976,0.001,-0.007,110.006,-0.034,-110.002,-106.033,-106.004,105.988,105.988,-106.007,105.995,105.966,-106.004
Report_RSAS_1125.pdf,1985-12-20,Wild Heerbrugg,RC8,730,Wild,Universal Aviogon,UAg318,152.761,,,299.81,299.806,,,,,,,,,-106.006,-106.001,106.005,105.984,-105.998,106.0,105.992,-106.001
Report_RSAS_1133.pdf,1986-02-28,Fairchild,KC-1B,63-004,Goerz,Planigon,389,151.898,237.83,235.205,308.218,307.933,-120.47,-0.035,117.36,0.039,-0.023,117.535,0.031,-117.67,-109.207,-108.958,108.984,108.737,-108.806,109.027,108.691,-108.958
Report_RSAS_1139.pdf,1986-02-21,Wild Heerbrugg,RC8,602,Wild,Universal Aviogon,UAg272,152.569,220.008,220.01,299.819,299.804,-109.994,0.006,110.014,-0.004,0.006,110.005,-0.007,-110.005,-106.0,-105.994,106.012,106.003,-105.997,106.0,105.996,-105.994
Report_RSAS_1141.pdf,1986-02-24,Wild Heerbrugg,RC8,898,Wild,Universal Aviogon,UAg339,152.737,,,299.809,299.807,,,,,,,,,-106.018,-105.99,105.994,105.992,-106.0,106.017,105.984,-105.99
Report_RSAS_1142.pdf,1986-02-26,Wild Heerbrugg,RC8,727,Wild,Universal Aviogon,UAg326,152.832,,,299.818,299.801,,,,,,,,,-106.008,-105.994,106.003,106.002,-105.99,106.004,105.995,-105.994
Report_RSAS_1146.pdf,1986-03-14,Wild Heerbrugg,RC10,1240,Wild,Universal Aviogon,UAg1014,151.715,,,299.819,299.82,,,,,,,,,-106.013,-106.02,106.001,105.974,-106.001,105.988,106.002,-106.02
Report_RSAS_1152.pdf,1986-04-09,Wild Heerbrugg,RC8,438,Wild,Aviogon,Ag118,152.23,,,299.829,299.836,,,,,,,,,-105.997,-105.995,106.01,106.019,-106.006,106.012,106.02,-105.995
Report_RSAS_1153.pdf,1986-04-11,Wild Heerbrugg,RC8,237,Wild,Universal Aviogon,UAg477,152.399,219.995,219.982,299.82,299.803,-109.997,0.028,109.999,0.016,0.015,110.016,-0.014,-109.966,-106.003,-105.974,106.01,106.021,-105.991,106.024,105.997,-105.974
Report_RSAS_1157.pdf,1986-04-25,Wild Heerbrugg,RC8,927,Wild,Universal Aviogon,UAg384,152.108,,,299.823,299.815,,,,,,,,,-106.003,-105.981,106.013,106.016,-106.004,106.023,105.994,-105.981
Report_RSAS_1163.pdf,1986-06-11,Fairchild,T-12,54-398,Goerz,Planigon,562,150.551,238.047,235.355,309.441,309.51,-120.415,0.005,117.633,-0.091,0.036,117.638,-0.061,-117.718,-109.393,-109.461,109.351,109.412,-109.396,109.322,109.533,-109.461
Report_RSAS_1165.pdf,1986-06-11,Wild Heerbrugg,RC8,486,Wild,Universal Aviogon,UAg251,152.277,219.992,220.0,299.811,299.804,-110.009,0.002,109.983,0.001,-0.004,109.998,-0.02,-110.002,-106.01,-105.993,106.0,105.994,-106.011,106.0,105.983,-105.993
Report_RSAS_1166.pdf,1986-06-09,Wild Heerbrugg,RC8,486,Wild,Universal Aviogon,UAg286,152.838,,,299.824,299.819,,,,,,,,,-106.035,-105.997,106.0,105.984,-106.004,106.001,106.006,-105.997
Report_RSAS_1176.pdf,1986-07-25,Park,,101A,Wild,Universal Aviogon,UAg457,153.36,223.699,223.748,316.456,316.474,-111.854,0.002,111.845,-0.007,-0.014,111.863,0.02,-111.885,-111.877,-111.895,111.879,111.885,-111.884,111.882,111.9,-111.895
