ID,cal_file,marker_style,date,camera_make,camera_model,camera_serial,lens_make,lens_model,lens_serial,focal,lr_dist,tb_dist,llur_dist,ullr_dist,mlx,mly,mrx,mry,mtx,mty,mbx,mby,llx,lly,urx,ury,ulx,uly,lrx,lry
AR1SWHQ00010047,Report_RSAS_838.pdf,wild_corner,1982-11-24,Wild Heerbrugg,RC9,640,Wild,Super Aviogon,SAg83,88.383,,,299.79,299.826,,,,,,,,,-106.004,-105.997,105.974,105.991,-106.011,106.016,105.994,-105.997
AR1SWHR00010001,Report_RT-R_575.pdf,wild_corner,1979-11-30,Wild Heerbrugg,RC9,613,Wild,Super Aviogon,SAg69,88.571,,,299.82,299.803,,,,,,,,,-105.992,-106.007,106.015,105.995,-105.975,105.997,106.007,-106.007
AR1SWHS00010001,Report_RSAS_838.pdf,wild_corner,1982-11-24,Wild Heerbrugg,RC9,640,Wild,Super Aviogon,SAg83,88.383,,,299.79,299.826,,,,,,,,,-106.004,-105.997,105.974,105.991,-106.011,106.016,105.994,-105.997
AR1SWHT00010027,Report_RSAS_838.pdf,wild_corner,1982-11-24,Wild Heerbrugg,RC9,640,Wild,Super Aviogon,SAg83,88.383,,,299.79,299.826,,,,,,,,,-106.004,-105.997,105.974,105.991,-106.011,106.016,105.994,-105.997
AR1SWHU00010021,Report_RSAS_838.pdf,wild_corner,1982-11-24,Wild Heerbrugg,RC9,640,Wild,Super Aviogon,SAg83,88.383,,,299.79,299.826,,,,,,,,,-106.004,-105.997,105.974,105.991,-106.011,106.016,105.994,-105.997
AR1SWHV00010117,Report_RSAS_838.pdf,wild_corner,1982-11-24,Wild Heerbrugg,RC9,640,Wild,Super Aviogon,SAg83,88.383,,,299.79,299.826,,,,,,,,,-106.004,-105.997,105.974,105.991,-106.011,106.016,105.994,-105.997
AR1SWHW00010066,Report_232_05_206205.pdf,zeiss_float,1972-03-29,Zeiss,RMK A 8.5/23,113501,Zeiss,S-Pleogon A,111568,85.5,226.024,226.025,294.129,294.14,,,,,,,,,,,,,,,,
AR1SWHX00010049,Report_232_05_206205.pdf,zeiss_float,1972-03-29,Zeiss,RMK A 8.5/23,113501,Zeiss,S-Pleogon A,111568,85.5,226.024,226.025,294.129,294.14,,,,,,,,,,,,,,,,
AR1SWHY00010001,Report_232_05_206205.pdf,zeiss_float,1972-03-29,Zeiss,RMK A 8.5/23,113501,Zeiss,S-Pleogon A,111568,85.5,226.024,226.025,294.129,294.14,,,,,,,,,,,,,,,,
AR1SWHZ00010001,Report_WRC9SAg4.pdf,wild_corner,,Wild Heerbrugg,RC9,,Wild,Super Aviogon,,88.409,,,299.814,299.816,,,,,,,,,-106.003,-106.006,105.999,105.998,-105.997,105.997,106.004,-106.006
AR1SWIA00010001,Report_WRC9SAg4.pdf,wild_corner,,Wild Heerbrugg,RC9,,Wild,Super Aviogon,,88.409,,,299.814,299.816,,,,,,,,,-106.003,-106.006,105.999,105.998,-105.997,105.997,106.004,-106.006
AR1SWIB00010151,Report_WRC9SAg4.pdf,wild_corner,,Wild Heerbrugg,RC9,,Wild,Super Aviogon,,88.409,,,299.814,299.816,,,,,,,,,-106.003,-106.006,105.999,105.998,-105.997,105.997,106.004,-106.006
AR1SWIC00010001,Report_WRC9SAg4.pdf,wild_corner,,Wild Heerbrugg,RC9,,Wild,Super Aviogon,,88.409,,,299.814,299.816,,,,,,,,,-106.003,-106.006,105.999,105.998,-105.997,105.997,106.004,-106.006
AR1SWID00010001,Report_WRC9SAg4.pdf,wild_corner,,Wild Heerbrugg,RC9,,Wild,Super Aviogon,,88.409,,,299.814,299.816,,,,,,,,,-106.003,-106.006,105.999,105.998,-105.997,105.997,106.004,-106.006
AR1SWIE00010001,Report_WRC9SAg4.pdf,wild_corner,,Wild Heerbrugg,RC9,,Wild,Super Aviogon,,88.409,,,299.814,299.816,,,,,,,,,-106.003,-106.006,105.999,105.998,-105.997,105.997,106.004,-106.006
AR1SWIF00010025,Report_WRC9SAg4.pdf,wild_corner,,Wild Heerbrugg,RC9,,Wild,Super Aviogon,,88.409,,,299.814,299.816,,,,,,,,,-106.003,-106.006,105.999,105.998,-105.997,105.997,106.004,-106.006
AR1SWIG00010001,Report_WRC9SAg4.pdf,wild_corner,,Wild Heerbrugg,RC9,,Wild,Super Aviogon,,88.409,,,299.814,299.816,,,,,,,,,-106.003,-106.006,105.999,105.998,-105.997,105.997,106.004,-106.006
