ID,cal_file,marker_style,date,camera_make,camera_model,camera_serial,lens_make,lens_model,lens_serial,focal,lr_dist,tb_dist,llur_dist,ullr_dist,mlx,mly,mrx,mry,mtx,mty,mbx,mby,llx,lly,urx,ury,ulx,uly,lrx,lry
AR1VAFF00010079,Report_2_2_152508.pdf,small_flat,1958-03-21,Park,,67,Bausch and Lomb,Cartogon,JZ1493,151.87,223.29,223.24,,,,,,,,,,,,,,,,,,
AR1VAFI0001X001,Report_232_05_202970.pdf,wild_corner,1970-11-25,Wild Heerbrugg,RC8,360,Wild,Aviogon,Ag116,152.41,,,299.81,299.82,,,,,,,,,,,,,,,,
AR1VAFJ00010029,Report_232_05_202970.pdf,wild_corner,1970-11-25,Wild Heerbrugg,RC8,360,Wild,Aviogon,Ag116,152.41,,,299.81,299.82,,,,,,,,,,,,,,,,
AR1VAFK00010005,Report_232_05_202970.pdf,wild_corner,1970-11-25,Wild Heerbrugg,RC8,360,Wild,Aviogon,Ag116,152.41,,,299.81,299.82,,,,,,,,,,,,,,,,
AR1VAFN00010024,Report_2_2_176691.pdf,zeiss_mid,1963-07-26,Zeiss,RMK 15/23,2147,Zeiss,Pleogon,9866,152.88,226.04,226.04,,,,,,,,,,,,,,,,,,
AR1VAFO00010007,Report_232_05_202970.pdf,wild_corner,1970-11-25,Wild Heerbrugg,RC8,360,Wild,Aviogon,Ag116,152.41,,,299.81,299.82,,,,,,,,,,,,,,,,
AR1VAFR00010001,Report_2_2_159294.pdf,zeiss_mid,1959-10-12,Zeiss,RMK 15/23,2113,Zeiss,Pleogon,9822,152.96,225.98,226.04,,,,,,,,,,,,,,,,,,
AR1VAFS00010001,Report_2_2_155689-1.pdf,curved_flat,1958-12-19,Smith,,JZ1486,Bausch and Lomb,Cartogon,JZ1486,152.88,219.6,220.48,,,,,,,,,,,,,,,,,,
AR1VAFT00010001,Report_2_2_150325.pdf,small_flat,1957-08-22,Park,,49,Bausch and Lomb,Cartogon,JZ1484,151.64,223.25,223.15,,,,,,,,,,,,,,,,,,
AR1VAFU00010001,Report_2_2_152394-1.pdf,small_flat,1958-04-02,Park,,66,Bausch and Lomb,Cartogon,JZ1488,151.87,223.53,223.41,,,,,,,,,,,,,,,,,,
AR1VAFV00010001,Report_2_2_152394-1.pdf,small_flat,1958-04-02,Park,,66,Bausch and Lomb,Cartogon,JZ1488,151.87,223.53,223.41,,,,,,,,,,,,,,,,,,
AR1VAFW00010001,Report_2_2_152394-1.pdf,small_flat,1958-04-02,Park,,66,Bausch and Lomb,Cartogon,JZ1488,151.87,223.53,223.41,,,,,,,,,,,,,,,,,,
AR1VAFX00010015,Report_2_2_150325.pdf,small_flat,1957-08-22,Park,,49,Bausch and Lomb,Cartogon,JZ1484,151.64,223.25,223.15,,,,,,,,,,,,,,,,,,
AR1VAFY00010001,Report_2_2_155689-1.pdf,curved_flat,1958-12-19,Smith,,JZ1486,Bausch and Lomb,Cartogon,JZ1486,152.88,219.6,220.48,,,,,,,,,,,,,,,,,,
AR1VAFZ0001X001,Report_2_2_167814-1.pdf,small_flat,1961-08-23,Airagon,,290,Goerz,Planigon,290,151.33,222.45,222.52,,,,,,,,,,,,,,,,,,
AR1VAGA0001X119,Report_2_2_167814-1.pdf,small_flat,1961-08-23,Airagon,,290,Goerz,Planigon,290,151.33,222.45,222.52,,,,,,,,,,,,,,,,,,
AR1VAGB00020001,Report_2_2_152508.pdf,small_flat,1958-03-21,Park,,67,Bausch and Lomb,Cartogon,JZ1493,151.87,223.29,223.24,,,,,,,,,,,,,,,,,,
AR1VAGC00020026,Report_2_2_152508.pdf,small_flat,1958-03-21,Park,,67,Bausch and Lomb,Cartogon,JZ1493,151.87,223.29,223.24,,,,,,,,,,,,,,,,,,
AR1VAGD00020001,Report_2_2_152508.pdf,small_flat,1958-03-21,Park,,67,Bausch and Lomb,Cartogon,JZ1493,151.87,223.29,223.24,,,,,,,,,,,,,,,,,,
AR1VAGF00010001 ,Report_232_05_204607.pdf,midside_notch,1971-07-22,Fairchild,KC-1,54-024,Bausch and Lomb,Planigon,RF83,152.21,237.94,235.02,,,,,,,,,,,,,,,,,,
AR1VAGJ00020020,Report_2_2_155689-1.pdf,curved_flat,1958-12-19,Smith,,JZ1486,Bausch and Lomb,Cartogon,JZ1486,152.88,219.6,220.48,,,,,,,,,,,,,,,,,,
AR1VAGO00010001 ,Report_232_05_204607.pdf,midside_notch,1971-07-22,Fairchild,KC-1,54-024,Bausch and Lomb,Planigon,RF83,152.21,237.94,235.02,,,,,,,,,,,,,,,,,,
AR1VAGW00010002,Report_232_05_202970.pdf,wild_corner,1970-11-25,Wild Heerbrugg,RC8,360,Wild,Aviogon,Ag116,152.41,,,299.81,299.82,,,,,,,,,,,,,,,,
AR1VAGY00010001,Report_2_2_170519.pdf,small_flat,1962-03-23,Park,,49,Bausch and Lomb,Cartogon,JZ1484,151.66,223.26,223.08,,,,,,,,,,,,,,,,,,
AR1VAGZ00010001 ,Report_RSAS_882.pdf,corner_notch,1983-05-09,Fairchild,T-12,53-116,Bausch and Lomb,Planigon,XF6720,152.635,235.201,235.203,328.881,328.883,-117.6,0.01,117.6,0.007,-0.003,117.62,0,-117.583,-116.27,-116.274,116.268,116.297,-116.274,116.279,116.285,-116.274
AR1VAH000010002,Report_2_2_140890.pdf,curved_flat,1955-01-04,Smith,,36-171,Bausch and Lomb,Metrogon,UF3732,153.5,222.39,221.77,,,,,,,,,,,,,,,,,,
AR1VAHD00010001 ,Report_212_12_186927-1.pdf,midside_notch,1965-11-29,Fairchild,T-11,54-010,Bausch and Lomb,Planigon,XF6715,152.58,237.98,234.98,,,,,,,,,,,,,,,,,,
AR1VAHE00010001 ,Report_212_12_186927-1.pdf,midside_notch,1965-11-29,Fairchild,T-11,54-010,Bausch and Lomb,Planigon,XF6715,152.58,237.98,234.98,,,,,,,,,,,,,,,,,,
AR1VAHF00010001 ,Report_212_12_186927-1.pdf,midside_notch,1965-11-29,Fairchild,T-11,54-010,Bausch and Lomb,Planigon,XF6715,152.58,237.98,234.98,,,,,,,,,,,,,,,,,,
AR1VAHG00020052 ,Report_212_12_186927-1.pdf,midside_notch,1965-11-29,Fairchild,T-11,54-010,Bausch and Lomb,Planigon,XF6715,152.58,237.98,234.98,,,,,,,,,,,,,,,,,,
AR1VAHH00010001 ,Report_212_12_186927-1.pdf,midside_notch,1965-11-29,Fairchild,T-11,54-010,Bausch and Lomb,Planigon,XF6715,152.58,237.98,234.98,,,,,,,,,,,,,,,,,,
AR1VAHI00010001,Report_2_2_155689-1.pdf,curved_flat,1958-12-19,Smith,,JZ1486,Bausch and Lomb,Cartogon,JZ1486,152.88,219.6,220.48,,,,,,,,,,,,,,,,,,
AR1VAHK00010001,Report_2_2_151918-2.pdf,small_flat,1958-02-03,Park,,65,Bausch and Lomb,Cartogon,JZ1496,152.05,222.95,223.12,,,,,,,,,,,,,,,,,,
AR1VAHL00010001,Report_2_2_152508.pdf,small_flat,1958-03-21,Park,,67,Bausch and Lomb,Cartogon,JZ1493,151.87,223.29,223.24,,,,,,,,,,,,,,,,,,
AR1VAHO00010125,Report_232_05_202970.pdf,wild_corner,1970-11-25,Wild Heerbrugg,RC8,360,Wild,Aviogon,Ag116,152.41,,,299.81,299.82,,,,,,,,,,,,,,,,
AR1VAHP00010002,Report_232_05_202970.pdf,wild_corner,1970-11-25,Wild Heerbrugg,RC8,360,Wild,Aviogon,Ag116,152.41,,,299.81,299.82,,,,,,,,,,,,,,,,
